Group,Sl_No,Name_of_Lab,State,Status,OSL_Code,Recognition_Valid_Upto,Remarks
GROUP-1,195,"Global Lab and Consultancy Services LLP, Salem",Tamilnadu,Private,6170916,13.07.2028,
GROUP-1,196,"Global Compliance Laboratory India, Ghaziabad",Uttar Pradesh,Private,5172706,20.06.2026,
GROUP-1,197,GODREJ - NASHIK,Maharashtra,Private,7173406,30.07.2026,
GROUP-1,198,"Giga Labs, Bengaluru",Karnataka,Private,6177526,03.04.2027,
GROUP-1,199,"Gravitas Laboratories Private Limited, Noida",Uttar Pradesh,Private,8182606,19.11.2027,
GROUP-1,200,"Global Testing Laboratory Private limited, Ghaziabad",Uttar Pradesh,Private,8184306,11.03.2028,
GROUP-1,201,"Global Technical Services (Central Oil Testing Laboratory), Bhilwara",Rajasthan,Private,8188316,18.09.2028,
GROUP-1,202,"GECS LAB PRIVATE LIMITED, Ambala",Haryana,Private,9188536,21.09.2028,
GROUP-1,203,"Global Scientific Solution (P) Ltd., North Delhi",Delhi,Private,8189526,30.10.2028,
GROUP-1,204,Hi Physix Laboratory India Pvt. Ltd. Pune,Maharashtra,Private,7126926,20.06.2028,Suspension revoked w.e.f. 22-01-2018. Suspended w.e.f. 28- 12-2017. Suspension revoked w.e.f. 23-09-2016. Present status operative
GROUP-1,205,"Hindustan Testing Solutions LLP, Ambala Cantt.",Haryana,Private,9122136,12.09.2028,Suspension revoked w.e.f. 12-09-2023. (Present status operative). Suspended w.e.f. 27-06-2023. Suspension revoked w.e.f. 23-10-2018. (Present status operative). Suspended w.e.f. 02- 04-2018.
GROUP-1,206,"Hitechlab Healthcare & Research Centre LLP, Ahemdabad",Gujarat,Private,7131116,01.06.2027,
GROUP-1,207,"HTH Laboratories Private Limited, Panipat",Haryana,Private,9137406,31.12.2026,Suspension revoked w.e.f. 01.08.2018. (Present status operative) Suspended w.e.f. 20.03.2018
GROUP-1,208,"HPCL, Vashi QC Laboratory, Navi Mumbai",Maharashtra,Govt,7161816,23.08.2027,
GROUP-1,209,"Hexiqon Laboratory Private Limited, Ahemdabad",Gujarat,Private,7167306,07.02.2027,
GROUP-1,210,"Hasti Engineers LLP, Rajkot",Gujarat,Private,7173706,21.08.2026,
GROUP-1,211,"HT Product Services Private Limited, Noida",Uttar Pradesh,Private,8175006,03.12.2026,
GROUP-1,212,"Hubert Enviro Care Systems Limited., Chennai",Tamilnadu,Private,6176216,15.02.2027,
GROUP-1,213,"Hari Shankar Singhania Elastomer and Tyre Research Institute, HASETRI, MYSORE",Karnataka,Private,6183136,02.12.2027,
GROUP-1,214,"Havells India Limited (Havells Research & Development Laboratory), Ghaziabad",Uttar Pradesh,Private,8187226,06.08.2028,
GROUP-1,215,"Indian Institute of Packaging, Mumbai",Maharashtra,Govt.,7118404,30.06.2028,
GROUP-1,216,"Institute of Autoparts & Hand Tools Technology, Ludhiana",Punjab,Govt.,9126034,17.02.2028,
GROUP-1,217,"Interfield Laboratories, Cochin",Kerala,Private,6124716,02.07.2027,
GROUP-1,218,"International Centre for Automotive Technology, Gurgaon",Haryana,Private,8123735,31.12.2026,Suspension revoked w.e.f. 30-01-2026. Suspended w.e.f. 21- 11-2025
GROUP-1,219,"Interstellar Testing Centre Pvt Ltd, Panchkula",Haryana,Private,9108716,31.07.2028,Suspension revoked w.e.f. 28.12..2015 (Present status operative) Suspended w.e.f. 23- 11-2015
GROUP-1,220,"Intertek India Private Limted, Hyderabad",A.P.,Private,6126316,18.03.2028,Suspension revoked w.e.f. 28-10-2019 (Present status operative) Suspended w.e.f. 13- 08-2019.
GROUP-1,221,Intertek India Pvt. Ltd.,Delhi,Private,8122426,27.10.2028,
GROUP-1,222,"Intertek India Pvt Ltd, Gurgaon",Haryana,Private,8125516,07.12.2027,
GROUP-1,223,"Indian Rubber Materials Research Institute, Thane",Maharashtra,Govt.,7119305,30.06.2026,
GROUP-1,224,"International Centre for Automotive Tech.(Unit-2), Gurgaon",Haryana,Private,8135535,01.03.2029,Suspension revoked w.e.f. 24-09-2025. (Present status operative) Suspended w.e.f. 18.06.2025
GROUP-1,225,"Intertek India Pvt Ltd, New Delhi",Delhi,Private,8136626,27.04.2029,
GROUP-1,226,"Institute for Industrial Research & Toxicology, Ghaziabad",U.P.,Private,8163116,17.02.2028,
GROUP-1,227,"Inspection Syndicate of India Pvt Ltd, Kolkata",W.B.,Private,5164306,16.10.2028,Suspension revoked w.e.f. 17-02-2026. (Present status operative) Suspended w.e.f. 30- 01-2026 Suspension revoked w.e.f. 13-10-2022. (Present status operative) SUSPENDED W.E.F. 21-04-2022.
GROUP-1,228,"IEC Test labs LLP, Bawana, Delhi",Delhi,Private,8165726,07.09.2026,
GROUP-1,229,"Intertek India Pvt Ltd, Gurgaon",Haryana,Private,8166336,05.11.2026,Suspension revoked w.e.f. 17-05-2022. (Present status operative) SUSPENDED W.E.F. 10-02-2022.
GROUP-1,230,"Intertek India Pvt Ltd, Mumbai",Maharashtra,Private,7170706,06.07.2028,
GROUP-1,231,"Indian Testing Laboratory Private Limited, Noida",U.P.,Private,8171306,15.08.2028,Suspension revoked w.e.f. 25-04-2024. (Present status operative) Suspended w.e.f. 19.01.2024
GROUP-1,232,"Interstellar Testing Centre Private Limited, Chennai",Tamil Nadu,Private,6173106,07.07.2026,
GROUP-1,233,"International Testing Centre, MSME Technology Development Centre, Meerut",U.P.,Govt.,8177804,15.04.2027,
GROUP-1,234,IAPMO India Pvt. Ltd. Bangalore,Karnataka,Private,6107716,18.03.2027,Suspension revoked w.e.f. 17-04-2025. (Present status operative) Suspended w.e.f. 17.01.2025
GROUP-1,235,"IRCLASS System and Solution Pvt. Ltd., Jaipur",Rajasthan,Private,8179206,06.08.2027,
GROUP-1,236,"Indian Rubber Material Research Institute, Tirupati",AP,Private,6179035,22.08.2027,
GROUP-1,237,"INDIAN TEST HOUSE PRIVATE LIMITED, Ghaziabad",Uttar Pradesh,Private,8183336,30.12.2027,
GROUP-1,238,"International Testing and Compliance (OPC) Private Limited, Faridabad",Haryana,Private,8188026,07.09.2028,
GROUP-1,239,"IDMA LABORATORIES LIMITED, PANCHKULA",Haryana,Private,9123236,31.12.2026,Suspension revoked w.e.f. 21-08-2026. (Present status operative) Suspended w.e.f. 09.07.2026 Suspension revoked w.e.f. 11-11-2025. (Present status operative)
GROUP-1,240,"JBS Testing Solutions Pvt Ltd, Jalandhar",Punjab,Private,9164606,04.12.2028,
GROUP-1,241,"Jubilant Pharma and Chemical Lab (OPC) Pvt Ltd, Navi Mumbai",Maharshtra,Private,7169416,12.12.2027,Suspension revoked w.e.f. 01-03-2024. (Present status operative) Suspended w.e.f. 17- 07-2023.
GROUP-1,242,"JBS Testing Solution (Unit-2), Jalandhar",Punjab,Private,9172306,22.05.2026,
GROUP-1,243,"Jagdamba Laboratories (OPC) Pvt Ltd, Jaipur",Rajasthan,Private,8183216,22.12.2027,
GROUP-1,244,"Kailtech Test and Research Centre Pvt. Ltd., Indore",M.P.,Private,8125636,18.12.2027,
GROUP-1,245,"Karandikar Laboratories Pvt Ltd, Boisar (E), Palghar, Thane",Maharashtra,Private,7121526,04.03.2028,
GROUP-1,246,"Konark Research Foundation, Daman",Daman,Private,7119516,31.12.2026,Suspension revoked w.e.f. 08-08-2019. (Present status operative) Suspended w.e.f. 28- 02-2019. Suspension revoked w.e.f. 29 Feb 2016. (Present status operative) Suspended w.e.f. 03- 02-2016
GROUP-1,247,"Kalyani Laboratories Pvt Ltd, Bhubaneswar",Orissa,Private,5134116,11.07.2028,Suspension revoked w.e.f. 28-11-2025.. (Present status operative) Suspended w.e.f. 27.08.2025 Suspension revoked w.e.f 29-06-2018. (Present status operative) Suspended with effect from 03-11-2017. Suspension revoked w.e.f. 23-02-2017. (Present status operative) Suspended w.e.f. 15- 11-2016
GROUP-1,248,"K C India Test Laboratories LLP, Ghaziabad",U.P.,Private,9140406,06.06.2027,Suspension revoked w.e.f 06-12-2022. (Present status operative) Suspended w.e.f. 19- 10-2022. Suspension revoked w.e.f. 22-07-2020 (Present status operative) SUSPENDED W.E.F. 02-03-2020
GROUP-1,249,"Krishna Digital Material Testing Laboratory, Bhopal",M.P.,Private,8168706,19.08.2027,
GROUP-1,250,"KSA LABS LLP, Vadodara",Gujarat,Private,7186606,23.06.2028,
GROUP-1,251,"KPML Low Voltage Rotating Machine and Hydraulic Laboratory Karad Projects and motors Limited, Karad",Maharashtra,Private,7187626,25.08.2028,
GROUP-1,252,"Lucid Laboratories Pvt. Ltd., Hyderabad",A.P.,Private,6121636,19.04.2028,Suspension revoked w.e.f. 29-08-2023. (Present status operative) SUSPENDED W.E.F. 16-03-2023. Suspension revoked w.e.f. 03-06-2019 (Present status operative) SUSPENDED W.E.F. 13-03-2019
GROUP-1,253,"Lilaba Analytical Laboratories LLP, Surat",Gujarat,Private,7137216,11.06.2026,Suspension revoked w.e.f. 26-10-2023. (Present status operative) SUSPENDED W.E.F. 19-06-2023. Suspension revoked w.e.f. 15-09-2022.
GROUP-1,254,"LANDMARK MATERIAL TESTING AND RESEARCH LABORATORY PVT LTD, Jaipur",Rajasthan,Private,8182036,27.10.2027,
GROUP-1,255,"Maarc Labs (P) Ltd, Pune",Maharashtra,Private,7119116,31.12.2026,Suspension revoked w.e.f. 15-10-2025. (Present status operative) SUSPENDED W.E.F. 26-08-2025
GROUP-1,256,"MicroChem Silliker Private Ltd., Navi Mumbai",Maharashtra,Private,7123316,31.12.2026,Suspension revoked w.e.f. 26-11-2021. (Present status operative) SUSPENDED W.E.F. 08-10-2021.
GROUP-1,257,"Modern Test Center, Ganjam",Orissa,Private,5123116,31.05.2029,
GROUP-1,258,"Monarch Biotech (P), Ltd., Chennai",Tamilnadu,Private,6118616,04.10.2028,
GROUP-1,259,"MSME Development Institute, Coimbatore",Tamilnadu,Govt.,6105534,14.01.2028,Suspension revoked w.e.f. 01-09-2022. (Present status operative) SUSPENDED W.E.F. 3-8-21.
GROUP-1,260,"MSME Testing Centre, Chennai",Tamilnadu,Govt.,6106704,31.12.2026,Suspension revoked w.e.f. 14-05-2019. (Present status operative) SUSPENDED W.E.F. 07-03-2019
GROUP-1,261,"MSME Testing Centre, Kolkata",W.B.,Govt.,5108204,31.12.2026,
GROUP-1,262,"MSME Testing Centre, Mumbai",Maharashtra,Govt.,7119404,22.07.2027,
GROUP-1,263,"MSME Testing Centre, New Delhi",Delhi,Govt.,8101204,31.12.2026,
GROUP-1,264,"Mitra S.K. Private Limited, Kolkata",W.B.,Private,5131716,20.07.2027,Deferred w.e.f. 29.04.2025 Suspension revoked w.e.f. 05-10-2016. (Present status operative) Suspended w.e.f. 27- 07-2016
GROUP-1,265,"Mananda Test House, Derabassi",Punjab,Private,9134736,02.10.2028,
GROUP-1,266,"Matrix Test Labs, Delhi",Delhi,Private,8138626,31.12.2026,
GROUP-1,267,"Intertek India Private Limited, Ahemdabad",Gujarat,Private,7166626,02.12.2026,
GROUP-1,268,"MATS India Private Limited, Chennai",Tamilnadu,Private,6168016,29.06.2027,Suspension revoked w.e.f. 01-12-2022. SUSPENDED W.E.F. 22-08-2022.
GROUP-1,269,"Marquis Technologies Private Limited, Noida",U.P.,Private,8175126,13.12.2026,
GROUP-1,270,"Material Testing Laboratory LLP, Delhi",Delhi,Private,8176306,18.02.2027,
GROUP-1,271,"MIGHTY TESTING PRIVATE LIMITED, GHAZIABAD",Uttar Pradesh,Private,8185126,04.05.2028,
GROUP-1,272,"MICRO ENGINEERING AND TESTING LABORATORY OPC PRIVATE LIMITED, Sonipat",Haryana,Private,9186006,03.06.2028,
GROUP-1,273,"Eurofins Consumer Product Testing India Private Limited, Noida",Uttar Pradesh,Private,8187006,28.07.2028,
GROUP-1,274,"MS TESTING LABORATORY LLP, Ghaziabad",Uttar Pradesh,Private,8187716,27.08.2028,
GROUP-1,275,"MBIS Tescon Private Limited, Delhi",Delhi,Private,8190506,10.11.2028,
GROUP-1,276,"Mysore ESDM Cluster, Mysuru",Karnataka,Private,6188826,12.10.2028,
GROUP-1,277,"MEKANIKA TESTING LABS LLP, Ghaziabad",Uttar Pradesh,Private,8191236,20.11.2028,
GROUP-1,278,"MORBI TEST HOUSE LLP, Morbi",Gujarat,Private,7195306,01.01.2029,
GROUP-1,279,"National Test House (NR), Ghaziabad",U.P.,Govt.,8101304,26.10.2028,
GROUP-1,280,"National Test House (ER), Kolkata",W.B.,Govt.,5123904,08.04.2027,
GROUP-1,281,"National Test House (NWR), Jaipur",Rajasthan,Govt.,8122904,31.12.2026,
GROUP-1,282,"National Test House (SR), Chennai",Tamilnadu,Govt.,6122704,28.11.2028,
GROUP-1,283,"National Test House (WR), Mumbai",Maharashtra,Govt.,7107604,24.07.2028,
GROUP-1,284,"NaWal Analytical Labs India Private Limited, Hosur",Tamilnadu,Private,6126416,21.03.2028,Suspension revoked w.e.f. 22.05.2024. Present status operative) SUSPENDED W.E.F. 14-12-2023 Suspension revoked w.e.f. 23 Dec 2015. Present status operative)
GROUP-1,285,"NCCBM, Hyderabad",Telangana,Govt.,6114835,14.08.2027,
GROUP-1,286,"NCCBM, Ballabhgarh",Haryana,Govt.,9102335,15.05.2027,
GROUP-1,287,"NSIC Technical Services, Rajkot",Gujarat,Govt.,7104734,14.06.2028,
GROUP-1,288,"NSIC, Rajpura",Punjab,Govt.,9111924,31.12.2026,
GROUP-1,289,"National Institute of Secondary Steel Technology, Punjab",Punjab,Govt,9135004,24.10.2028,
GROUP-1,290,"National Research & Technology Consortium, Parwanoo, Solan",H.P.,Govt,9136024,10.04.2026,
GROUP-1,291,"Nemko India (Test lab) Pvt. Ltd, Faridabad",Haryana,Private,8138426,31.12.2026,Suspension revoked w.e.f. 20-07-2022. (Present status operative) SUSPENDED W.E.F. 13-04-2022.
GROUP-1,292,"National Test House-ER, Kolkata",W.B.,Govt,5140804,14.06.2027,
GROUP-1,293,"Nextron International Lab Pvt Ltd, Bawana, Delhi",Delhi,Private,9140226,06.06.2027,Suspension revoked w.e.f. 15-11-2019.. Present status operative) SUSPENDED W.E.F. 02-08-2019.
GROUP-1,294,"National Test House (NER), Guwahati",Assam,Govt,5169204,13.12.2027,
GROUP-1,295,"NBML Building Materials Testing Lab LLP, Raipur",Chhattisgarh,Private,5171706,29.09.2028,
GROUP-1,296,"Northern Centre for Research and Testing Pvt Ltd, New Delhi",Delhi,Private,8174806,23.11.2026,Suspended w.e.f. 10.07.2026
GROUP-1,297,"NIIRT Calibration and Testing Private Limited, Panchkula",Haryana,Private,9176026,06.02.2027,Suspension revoked w.e.f. 29-01-2026 Suspended w.e.f. 26.12.2025
GROUP-1,298,"Novateur Electrical and Digital Systems Pvt. Ltd., Nashik",Maharashtra,Private,7176426,21.02.2027,
GROUP-1,299,"National Commodities Management Services Limited-Commgrade- Testing Services Regional Laboratory (N), Gurgaon",Haryana,Private,8178406,17.05.2027,
GROUP-1,300,"NDL Power Limited, Sampla",Haryana,Private,9182206,10.11.2027,
GROUP-1,301,"National Soil Testing and Research laboratories, Panchkula",Haryana,Private,9182936,28.11.2027,
GROUP-1,302,"NATIONAL TESTING BUREAU, Ghaziabad",Uttar Pradesh,Private,8186826,09.07.2028,SUSPENDED W.E.F. 18.03.2026
GROUP-1,303,"NayraLaboratories (India)LLP, Delhi",Delhi,Private,8188136,09.09.2028,
GROUP-1,304,"OPTIMAS TESTING SERVICES, OPTIMAS OE SOLUTIONS INDIA PRIVATE LIMITED, Pune",Maharashtra,Private,7187406,19.08.2028,
GROUP-1,305,"OMRESEARCH & TESTING LABORATORY PRIVATE LIMITED, Ranchi",Jharkhand,Private,5197706,17.03.2029,
GROUP-1,306,"Planet Analysis Pvt. Ltd., Kanpur",Uttar Pradesh,Private,9125906,20.01.2028,Suspension revoked w.e.f. 19-10-2022. (Present status operative) SUSPENDED W.E.F. 14-06-2022
GROUP-1,307,"Punjab Biotechnology Incubator, Mohali",Punjab,Govt.,9121314,18.02.2028,Revoked w.e.f. 16- 04-2021 (Present status oprative) SUSPENDED W.E.F. 28-09-2020
GROUP-1,308,"Pump Testing Laboratory, Ludhiana",Punjab,Govt,9133933,15.05.2028,Revoked w.e.f. 31- 07-2023 (Present status oprative) SUSPENDED W.E.F. 31-08-2021.
GROUP-1,309,"Plastics Testing Centre (PTC), CIPET: CSTS-Baddi, Solan",Himachal Pradesh,Govt,9163904,16.05.2028,
GROUP-1,310,"Pulp & Paper Research Institute, Rayagada",Odisha,Private,5169006,13-10-2027,
GROUP-1,311,"Poweronic Test and Research Centre Pvt Ltd, Noida",U.P.,Private,8170206,11-04-2028,
GROUP-1,312,"Precise Analytics Lab. (A Div of Meyer Organics Pvt.Ltd.), Thane",Maharashtra,Private,7171406,23.08.2028,
GROUP-1,313,"Perficio Testing and Research Centre, Vadodara",Gujarat,Private,7172436,28.05.2026,
GROUP-1,314,"Precision Laboratories LLP, Ahmedabad",Gujarat,Private,7174106,31.10.2026,Suspension revoked w.e.f. 05-01-2026. Suspended w.e.f. 25.08.2025
GROUP-1,315,"Planet Electro Labs Private Limited, Delhi",Delhi,Private,8174226,05.11.2026,
GROUP-1,316,"Pioneer Testing Laboratory Private Limited, New Delhi",Delhi,Private,8176806,10.03.2027,
GROUP-1,317,"Pious laboratories Pvt. Ltd., Indore",M.P,Private,8183516,07.01.2028,
GROUP-1,318,"PIBCO LIMITED R&D CENTRE, New Delhi",Delhi,Private,8184506,23.03.2028,
GROUP-1,319,"Planet Electro Labs Private Limited, NEW DELHI",Delhi,Private,8185226,07.05.2028,
GROUP-1,320,"PAAM Testing Labs Private Limited, Noida",Uttar Pradesh,Private,8185506,07.05.2028,
GROUP-1,321,"Plastics Woven Bag Testing Lab- Technical Training & Research Centre - TTRC, Kanpur",Uttar Pradesh,Private,9187136,30.07.2028,
GROUP-1,322,"POLYMER TESTING LABORATORY, CIPET:SARP- APDDRL, Bangalore",Karnataka,Govt.,6187504,25.08.2028,
GROUP-1,323,"Perfect International Testing Lab, Ghaziabad",Uttar Pradesh,Private,8187826,01.09.2028,
GROUP-1,324,"PROMINENT TESTING CENTRE LLP, Patiala",Punjab,Private,9189006,26.10.2028,Suspended w.e.f. 10.06.2026
GROUP-1,325,"PUMP TEST LAB KSB LIMITED, Nashik",Maharashtra,Private,7196526,02.02.2029,
GROUP-1,326,"PADKONDE M S TESTING LABORATORY LLP, Pune",Maharashtra,Private,7197106,22.02.2029,
GROUP-1,327,"PRESTO LABORATORIES PRIVATE LIMITED, Faridabad",Haryana,Private,8199006,20.08.2029,
GROUP-1,328,"Qualichem Laboratories, Nagpur",Maharashtra,Private,7134016,12.07.2025,Deferred w.e.f. 22.07.2025
GROUP-1,329,"QA Testing Laboratories Private Limited, Noida",U.P.,Private,8169906,05.04.2028,
GROUP-1,330,"QVC Certification Services Pvt. Ltd, Ambala",Haryana,Private,9171906,12.01.2029,
GROUP-1,331,"Quality Testing & Research Lab, Ghaziabad",Uttar Pradesh,Private,8184006,23.02.2028,
GROUP-1,332,QA TESTING LABORATORIES PRIVATE LIMITED LUCKNOW,Uttar Pradesh,Private,9192006,02.12.2028,
GROUP-1,333,"QUALITY INTERNATIONAL RESEARCH & LABORATORIES PRIVATE LIMITED, Raipur",Chhattisgarh,Private,5197006,22.02.2029,
GROUP-1,334,"React Compliance and Testing Laboratories LLP, Bangalore",Karnataka,Private,6130526,10.03.2027,
GROUP-1,335,"Research and Development Centre for Bicycle and Sewing Machine, Ludhiana",Punjab,Govt.,9100634,31.12..2026,
GROUP-1,336,"RITES Easter Regional Laboratory, Kolkata",W.B.,Govt,5135804,19.03.2026,
GROUP-1,337,"Renewable Energy Test Centre, Murthal, Sonepat",Haryana,Govt,9137734,31.12.2026,Suspension revoked w.e.f. 16-07-2019. Suspended w.e.f. 27- 02-2019.
GROUP-1,338,"RTC cum Technology Back up Unit for Solar Thermal Devices, Pune",Maharashtra,Govt,7165924,26-10-2026,
GROUP-1,339,"Rajkot Engineering Testing and Research Centre, Rajkot",Gujarat,Private,7167626,25-03-2027,Suspension revoked w.e.f. 28-05-2025. Present status operative. Suspended w.e.f. 28.11.2024.
GROUP-1,340,"Robust Testing Solutions Private Limited, Alwar",Rajasthan,Private,8173526,02.08.2026,
GROUP-1,341,"RTRC Limited, Gurugram",Haryana,Private,9177406,03.04.2027,
GROUP-1,342,"Rohan Energy Solutions Pvt Ltd ( Testing Laboratory Division), Nashik",Maharashtra,Private,7183416,05.01.2028,
GROUP-1,343,"RAMCO RESEARCH AND DEVELOPMENT CENTRE, Chennai",Tamil Nadu,Private,6183606,12.01.2028,
GROUP-1,344,"Rajkot Metlab Services LLP, Rajkot",Gujarat,Private,7183706,12.01.2028,Suspended w.e.f. 17.03.2026.
GROUP-1,345,"RAHUL ENGINEERS LABORATORY PRIVATE LIMITED, Udaipur",Rajasthan,Private,8189106,26.10.2028,
GROUP-1,346,RAMCO INDUSTRIES LIMITED (MATERIAL TESTING LABORATORY),Tamil Nadu,Private,6198036,01.04.2026,
GROUP-1,347,TUV SUD SOUTH ASIA PRIVATE LIMITED RANIPET,Tamil Nadu,Private,6191806,01.12.2028,
GROUP-1,348,"S.B. Steel Company, Howrah",W.B.,Private,5120906,06.09.2027,Suspension revoked w.e.f. 13-10-2022. (Present status operative) SUSPENDED W.E.F. 04-07-2022 Suspension revoked w.e.f 03-09-2020 (Present status operative) SUSPENDED W.E.F. 24-06-2020.
GROUP-1,349,"TERAWATT TESTING AND RESEARCH INSTITUTE PRIVATE LIMITED, Alwar",Rajasthan,Private,8197526,12.03.2029,
GROUP-1,350,"SGS India Ltd, Chennai",Tamilnadu,Private,6114716,14.02.2028,
GROUP-1,351,"Shiva Analyticals (India) Private Limited, Bangalore",Karnataka,Private,6121716,21.04.2028,
GROUP-1,352,"Shri Krishna Test House, New Modern Shahdara",Delhi,Private,8122336,05.10.2028,Suspension revoked w.e.f. 08-01-2026. Suspended w.e.f. 18- 06-2025.
GROUP-1,353,"Shriram Research Institute, Bangalore",Karnataka,Private,6104206,14.02.2027,
GROUP-1,354,"SIIR, Delhi",Delhi,Private,8102006,31.12.2026,
GROUP-1,355,"Sipra labs (P) Ltd, Hyderabad",Telangana,Private,6117916,31.03.2027,Suspension revoked w.e.f. 10-08-2026. (Present status operative) Suspended w.e.f. 16.01.2026 Suspnsion revoked w.e.f. 29-06-2018. (Present status operative) Suspended w.e.f. 09- 04-2018 and deferment of renewal of recognition w.e.f. 01-04-2018.
GROUP-1,356,"Spectro Analytical Labs Private Limited, Greater Noida",Utter Pradesh,Private,8130426,04.01.2027,Suspension revoked w.e.f. 22 May 2015. (Present status operative) Suspended w.e.f. 14 May 2015
GROUP-1,357,"Sun-Tech, Ranchi",Jharkhand,Private,5126636,11.04.2028,
GROUP-1,358,"SMS Labs Services Pvt Ltd, Chennai",Tamilnadu,Private,6132316,08.10.2027,Suspension revoked w.e.f. 27-07-2020. Present status operative SUSPENDED W.E.F. 14-02-2020
GROUP-1,359,"SGS India Private Limited, Bengaluru",Karnataka,Private,6132626,17.11.2027,Suspension revoked w.e.f. 22-12-2017. Present status operative. Suspended w.e.f. 29-11-2017.
GROUP-1,360,"SGS India Private Limited, Kolkata",W.B.,Private,5132706,08.12.2027,Suspension Revoked w.e.f. 28-03-2023. Present status operative. SUSPENDED w.e.f. 10-01-2023. Partial suspension revoked w.e.f. 14.03.2018. Partial suspended for IS 13428 & 14543 w.e.f. 19-01-2018. Suspension revoked w.e.f. 25-10-2016. Present status operative. Suspended w.e.f. 09- 09-2016
GROUP-1,361,"Saturn Quality Certifications Pvt Ltd, Bahadurgarh",Haryana,Private,8133016,03.02.2028,
GROUP-1,362,"SGS India Pvt Ltd, Gurgaon",Haryana,Private,8136216,31.12.2026,
GROUP-1,363,"S M Consultants, Bhubaneswar",Orissa,Private,5137936,31.12.2026,
GROUP-1,364,"Sunren Telecom Laboratory, Navi Mumbai",Maharashtra,Private,7139526,15.03.2027,
GROUP-1,365,"Sleen India Biz Venture Private Limited, Agra",U.P.,Private,9139736,15.05.2027,Suspension revoked w.e.f. 28.02.2025 (Present status operative) SUSPENDED W.E.F. 19-12-2024 Suspension revoked w.e.f. 11.09.2023 (Present status operative) SUSPENDED W.E.F. 10-04-2023
GROUP-1,366,"Star Wire (India) Laboratories Private Ltd., Faridabad",Haryana,Private,8141826,17.09.2027,Suspension revoked w.e.f. 08-02-2023 SUSPENDED W.E.F. 06-12-2022 Suspension revoked w.e.f. 13 JULY 2020. (Present status operative) SUSPENDED W.E.F. 13-05-2020
GROUP-1,367,"SGS India Private Limited, Consumer and Retail Testing Laboratory, Chennai",Tamilnadu,Private,6162436,26.09.2027,
GROUP-1,368,"Sierra Aircon Pvt Ltd, Gurgaon",Haryana,Private,8163426,31.03.2028,Suspension revoked w.e.f. 25.08.2025 (Present status operative) Suspended w.e.f. 02.05.2025
GROUP-1,369,"Swastik Electronics Testing Centre (OPC) Pvt. Ltd., Ghaziabad",U.P.,Private,8163826,15.05.2028,
GROUP-1,370,"SGS India Pvt Ltd, Gurgaon",Haryana,Private,8167436,16.02.2027,
GROUP-1,371,"Standard Testing Laboratory Private Limited, Delhi",Delhi,Private,8170106,10.04.2028,Suspension revoked w.e.f. 24.01.2024 (Present status operative) Suspended w.e.f. 08.12.2023
GROUP-1,372,"SKC Compliance Lab Private Limited, Bengaluru",Karnataka,Private,6170406,24.05.2028,
GROUP-1,373,"Stellar Test House, Noida",U.P,Private,8171606,26.09.2025,
GROUP-1,374,"Shiva Test House Private Limited, Ghaziabad",U.P.,Private,8177706,11.04.2027,
GROUP-1,375,"Lauritz Knudsen Switchgear Testing Laboratories, MSW, SEIPL, Mumbai",Maharashtra,Private,7177626,11.04.2027,
GROUP-1,376,"Standard Testing and Compliance Private Limited, Faridabad.",Haryana,Private,6178726,10.07.2027,
GROUP-1,377,"Shriram Food and Pharma Research Centre, Ghaziabad",Uttar Pradesh,Private,9179606,20.08.2027,
GROUP-1,378,"STAR LABS TEST CENTRE LLP, Jaipur",Rajasthan,Private,8180526,07.10.2027,
GROUP-1,379,"Shri Bajrang Testing Labs, Noida",Uttar Pradesh,Private,8183006,01.12.2027,Suspended w.e.f. 24.03.2026
GROUP-1,380,"SNEHA TEST HOUSE PRIVATE LIMITED, Bengaluru",Karnataka,Private,6184216,12.03.2028,
GROUP-1,381,"Switchgear Testing Laboratories, Schneider Electric India Private Limited, Ahmednagar",Maharashtra,Private,7184626,24.03.2028,
GROUP-1,382,Samridhi Test House Pvt. Ltd. North Delhi,Delhi,Private,8184706,08.04.2028,
GROUP-1,383,"SHRI KRISHNA TEST HOUSE PVT LTD, New Delhi",Delhi,Private,8185606,12.05.2028,Suspension revoked w.e.f. 13 April 2026. (Present status operative) Suspended w.e.f. 06.03.2026
GROUP-1,384,"SCIENTIFIC AND INDUSTRIAL TESTING AND RESEARCH CENTRE (SITARC), Coimbatore",Tamil Nadu,Private,6189206,27.10.2028,
GROUP-1,385,"Spectro SSA Labs Private Limited, Navi Mumbai",Maharashtra,Private,7190106,09.11.2028,
GROUP-1,386,"Samtek Testing Laboratory LLP, Lucknow",Uttar Pradesh,Private,9194336,18.12.2028,
GROUP-1,387,"Standard Testing and Research Lab, Haridwar",Uttarakhand,Private,9197206,23.02.2029,
GROUP-1,388,"TCR Engineering, Mumbai",Maharashtra,Private,7103506,31.12.2026,
GROUP-1,389,"Testtex India Laboratories Pvt. Ltd, Mumbai",Maharashtra,Private,7126506,08.04.2028,
GROUP-1,390,TUV Rheinland (India) Pvt. Ltd. Bangalore,Karnataka,Private,6126126,17.02.2028,Suspension revoked w.e.f. 25 Sep 2018. (Present status operative) Suspended w.e.f. 3 Aug 2018. Suspension revoked w.e.f. 23 July 2018. (Present status operative) Suspended w.e.f. 01 March 2018
